Topic,Category,Subcategory,Question
java,Technical,Programming Languages,Explain lambda expressions in Java 8.
java,Technical,Programming Languages,What are design patterns? Explain Singleton pattern in Java.
java,Technical,Programming Languages,How does garbage collection work in Java?
java,Technical,Programming Languages,"Explain the `final`, `finally`, and `finalize` keywords in Java."
java,Technical,Programming Languages,What is method overloading vs method overriding in Java?
java,Technical,Programming Languages,Explain the concept of dependency injection in Java.
java,Technical,Programming Languages,"What is the difference between `String`, `StringBuilder`, and `StringBuffer`?"
java,Technical,Programming Languages,What is a `NullPointerException` and how do you prevent it?
javascript,Technical,Programming Languages,"What is the difference between `var`, `let`, and `const` in JavaScript?"
javascript,Technical,Programming Languages,Explain closures in JavaScript with an example.
javascript,Technical,Programming Languages,What is the event loop in JavaScript?
javascript,Technical,Programming Languages,What is hoisting in JavaScript?
javascript,Technical,Programming Languages,Explain Promises and async/await in JavaScript.
javascript,Technical,Programming Languages,What is the difference between `==` and `===` in JavaScript?
javascript,Technical,Programming Languages,What is prototypal inheritance in JavaScript?
javascript,Technical,Programming Languages,Explain the concept of `this` in JavaScript.
javascript,Technical,Programming Languages,What are arrow functions in JavaScript and how do they differ from regular functions?
javascript,Technical,Programming Languages,What is destructuring in ES6?
javascript,Technical,Programming Languages,Explain the spread operator and rest parameters in JavaScript.
javascript,Technical,Programming Languages,What is a callback function in JavaScript?
javascript,Technical,Programming Languages,What is the difference between `null` and `undefined` in JavaScript?
javascript,Technical,Programming Languages,Explain event bubbling and event delegation in JavaScript.
javascript,Technical,Programming Languages,What is the DOM and how do you manipulate it with JavaScript?
javascript,Technical,Programming Languages,What are modules in JavaScript (ES6)?
javascript,Technical,Programming Languages,Explain `localStorage` vs `sessionStorage` vs cookies.
javascript,Technical,Programming Languages,What is a pure function in JavaScript?
javascript,Technical,Programming Languages,Explain debouncing and throttling in JavaScript.
javascript,Technical,Programming Languages,What is `JSON.parse()` and `JSON.stringify()`?
typescript,Technical,Programming Languages,What is TypeScript and why would you use it over JavaScript?
typescript,Technical,Programming Languages,Explain the difference between `interface` and `type` in TypeScript.
typescript,Technical,Programming Languages,What are decorators in TypeScript and how are they used?
typescript,Technical,Programming Languages,What is the `any` type in TypeScript and when should you avoid it?
typescript,Technical,Programming Languages,Explain the `unknown` type in TypeScript.
typescript,Technical,Programming Languages,What are union and intersection types in TypeScript?
typescript,Technical,Programming Languages,How do generics work in TypeScript? Give an example.
typescript,Technical,Programming Languages,What is type assertion in TypeScript?
typescript,Technical,Programming Languages,Explain the `keyof` and `typeof` operators in TypeScript.
typescript,Technical,Programming Languages,What are mapped types in TypeScript?
typescript,Technical,Programming Languages,"What is the difference between `public`, `private`, and `protected` in TypeScript?"
typescript,Technical,Programming Languages,Explain the concept of module augmentation in TypeScript.
typescript,Technical,Programming Languages,How do you configure TypeScript with `tsconfig.json`?
typescript,Technical,Programming Languages,What are declaration files (`.d.ts`) and how do you use them?
typescript,Technical,Programming Languages,What is the `strict` mode in TypeScript?
c,Technical,Programming Languages,What is the difference between declaration and definition in C?
c,Technical,Programming Languages,Explain the concept of pointers in C.
c,Technical,Programming Languages,What is the use of `malloc()` and `calloc()` in C?
c,Technical,Programming Languages,How does memory allocation work in C?
c,Technical,Programming Languages,What is a structure in C and how is it different from a union?
c,Technical,Programming Languages,Explain the difference between structure and union in C.
c,Technical,Programming Languages,What are function pointers in C and how are they used?
c,Technical,Programming Languages,How do you handle file I/O in C?
c,Technical,Programming Languages,What is the preprocessor in C and what are its common uses?
c,Technical,Programming Languages,Explain the use of `#define` and macros in C.
c,Technical,Programming Languages,What are static variables and functions in C?
c,Technical,Programming Languages,How does recursion work in C? Give an example.
c,Technical,Programming Languages,What is the difference between `++i` and `i++` in C?
c,Technical,Programming Languages,Explain the concept of dynamic memory allocation in C.
c,Technical,Programming Languages,What are command line arguments in C and how do you access them?
cpp,Technical,Programming Languages,What are the differences between C and C++?
cpp,Technical,Programming Languages,Explain the concept of classes and objects in C++.
cpp,Technical,Programming Languages,What is inheritance in C++ and what are its types?
cpp,Technical,Programming Languages,Explain polymorphism in C++ with examples.
cpp,Technical,Programming Languages,What are virtual functions in C++ and why are they used?
cpp,Technical,Programming Languages,How does function overloading work in C++?
cpp,Technical,Programming Languages,What is operator overloading in C++? Give an example.
cpp,Technical,Programming Languages,Explain the concept of constructors and destructors in C++.
cpp,Technical,Programming Languages,What is the difference between `new` and `malloc()` in C++?
cpp,Technical,Programming Languages,How do you handle exceptions in C++?
cpp,Technical,Programming Languages,What are templates in C++ and how do they work?
cpp,Technical,Programming Languages,Explain the Standard Template Library (STL) in C++.
cpp,Technical,Programming Languages,What are vectors in C++ and how are they different from arrays?
cpp,Technical,Programming Languages,How do you use iterators in C++?
cpp,Technical,Programming Languages,What is the difference between `vector` and `list` in C++ STL?
csharp,Technical,Programming Languages,What is .NET Framework and how does it work?
csharp,Technical,Programming Languages,Explain the Common Language Runtime (CLR) in .NET.
csharp,Technical,Programming Languages,What is the difference between managed and unmanaged code in C#?
csharp,Technical,Programming Languages,What are the main features of C#?
csharp,Technical,Programming Languages,Explain the concept of object-oriented programming in C#.
csharp,Technical,Programming Languages,What are classes and objects in C#?
csharp,Technical,Programming Languages,How does inheritance work in C#?
csharp,Technical,Programming Languages,What is polymorphism in C# and how is it implemented?
csharp,Technical,Programming Languages,Explain method overloading and overriding in C#.
csharp,Technical,Programming Languages,What are interfaces in C# and how are they different from abstract classes?
csharp,Technical,Programming Languages,What are properties in C# and how do you use them?
csharp,Technical,Programming Languages,How do you handle exceptions in C#?
csharp,Technical,Programming Languages,What are delegates in C# and how are they used?
csharp,Technical,Programming Languages,Explain events and event handlers in C#.
csharp,Technical,Programming Languages,What are anonymous methods and lambda expressions in C#?
ruby,Technical,Programming Languages,What are the key features of the Ruby language?
ruby,Technical,Programming Languages,Explain the philosophy of 'Everything is an object' in Ruby.
ruby,Technical,Programming Languages,"What is the difference between blocks, procs, and lambdas in Ruby?"
ruby,Technical,Programming Languages,How does inheritance work in Ruby?
ruby,Technical,Programming Languages,What are modules in Ruby and how are they used for mixins?
ruby,Technical,Programming Languages,Explain the concept of mixins in Ruby with examples.
ruby,Technical,Programming Languages,How do you handle exceptions in Ruby?
ruby,Technical,Programming Languages,What are symbols in Ruby and how are they different from strings?
ruby,Technical,Programming Languages,Explain the difference between `==` and `equal?` in Ruby.
ruby,Technical,Programming Languages,What are getters and setters in Ruby and how do you create them?
ruby,Technical,Programming Languages,"How do you use `attr_accessor`, `attr_reader`, and `attr_writer` in Ruby?"
ruby,Technical,Programming Languages,What is the difference between class and instance variables in Ruby?
ruby,Technical,Programming Languages,Explain the concept of duck typing in Ruby.
ruby,Technical,Programming Languages,How do you work with arrays and hashes in Ruby?
ruby,Technical,Programming Languages,What are enumerable methods in Ruby? Give examples.
go,Technical,Programming Languages,What are the key features of the Go programming language?
go,Technical,Programming Languages,Explain the concept of goroutines in Go.
go,Technical,Programming Languages,How do channels work in Go for communication between goroutines?
go,Technical,Programming Languages,What is the difference between concurrency and parallelism in Go?
go,Technical,Programming Languages,How do you handle errors in Go?
go,Technical,Programming Languages,What are interfaces in Go and how are they used?
go,Technical,Programming Languages,Explain the concept of structs in Go.
go,Technical,Programming Languages,How do you work with pointers in Go?
go,Technical,Programming Languages,What is the defer keyword in Go and how is it used?
go,Technical,Programming Languages,How do you use packages in Go?
go,Technical,Programming Languages,Explain the `init` function in Go.
go,Technical,Programming Languages,What are slices in Go and how are they different from arrays?
go,Technical,Programming Languages,How do you work with maps in Go?
go,Technical,Programming Languages,What is the `make` function used for in Go?
go,Technical,Programming Languages,Explain the `new` function in Go and how it differs from `make`.
rust,Technical,Programming Languages,What are the key features of the Rust programming language?
rust,Technical,Programming Languages,Explain the concept of ownership in Rust.
rust,Technical,Programming Languages,How does borrowing work in Rust?
rust,Technical,Programming Languages,What are lifetimes in Rust and why are they important?
rust,Technical,Programming Languages,How do you handle errors in Rust using `Result` and `Option`?
rust,Technical,Programming Languages,What is the difference between `Result` and `Option` in Rust?
rust,Technical,Programming Languages,Explain the concept of traits in Rust.
rust,Technical,Programming Languages,How do you implement structs in Rust?
rust,Technical,Programming Languages,What are enums in Rust and how are they used?
rust,Technical,Programming Languages,How does pattern matching work in Rust?
rust,Technical,Programming Languages,What are closures in Rust and how do they work?
rust,Technical,Programming Languages,How do you work with iterators in Rust?
rust,Technical,Programming Languages,Explain the concept of smart pointers in Rust.
rust,Technical,Programming Languages,What is `Box<T>` in Rust and when do you use it?
rust,Technical,Programming Languages,How does `Rc<T>` work in Rust for reference counting?
php,Technical,Programming Languages,What is PHP and how does it work on the server side?
php,Technical,Programming Languages,Explain the differences between PHP and HTML.
php,Technical,Programming Languages,How do you declare variables in PHP and what are the data types?
php,Technical,Programming Languages,What are the different data types supported in PHP?
php,Technical,Programming Languages,How do you work with arrays in PHP?
php,Technical,Programming Languages,Explain the difference between indexed and associative arrays in PHP.
php,Technical,Programming Languages,"How do you use loops in PHP (for, while, foreach)?"
php,Technical,Programming Languages,What are the different types of loops in PHP?
php,Technical,Programming Languages,How do you handle form data in PHP using `$_GET` and `$_POST`?
php,Technical,Programming Languages,Explain the `$_GET` and `$_POST` superglobals in PHP.
php,Technical,Programming Languages,What are sessions in PHP and how do you use them?
php,Technical,Programming Languages,How do cookies work in PHP for storing user data?
php,Technical,Programming Languages,Explain the concept of object-oriented programming in PHP.
php,Technical,Programming Languages,What are classes and objects in PHP?
php,Technical,Programming Languages,How does inheritance work in PHP?
swift,Technical,Programming Languages,What are the key features of the Swift programming language?
swift,Technical,Programming Languages,Explain the difference between `let` and `var` in Swift.
swift,Technical,Programming Languages,What are optionals in Swift and how do you use them safely?
swift,Technical,Programming Languages,How do you handle optional binding in Swift?
swift,Technical,Programming Languages,Explain the concept of forced unwrapping in Swift and its risks.
swift,Technical,Programming Languages,What are the different types of collections in Swift?
swift,Technical,Programming Languages,How do arrays work in Swift?
swift,Technical,Programming Languages,What are dictionaries in Swift and how are they used?
swift,Technical,Programming Languages,Explain the concept of sets in Swift.
swift,Technical,Programming Languages,"How do you use loops in Swift (for-in, while)?"
swift,Technical,Programming Languages,What are the different control flow statements in Swift?
swift,Technical,Programming Languages,How do functions work in Swift and what are their features?
swift,Technical,Programming Languages,Explain the concept of closures in Swift.
swift,Technical,Programming Languages,What are the differences between functions and closures in Swift?
swift,Technical,Programming Languages,How do you use trailing closures in Swift?
kotlin,Technical,Programming Languages,What are the key features of the Kotlin programming language?
kotlin,Technical,Programming Languages,How is Kotlin different from Java?
kotlin,Technical,Programming Languages,Explain the concept of null safety in Kotlin.
kotlin,Technical,Programming Languages,What are nullable types in Kotlin and how do you work with them?
kotlin,Technical,Programming Languages,How do you use the safe call operator `?.` in Kotlin?
kotlin,Technical,Programming Languages,What is the Elvis operator `?:` in Kotlin and how is it used?
kotlin,Technical,Programming Languages,Explain the `!!` operator in Kotlin and its risks.
kotlin,Technical,Programming Languages,What are data classes in Kotlin and what benefits do they provide?
kotlin,Technical,Programming Languages,How do you create singleton objects in Kotlin using `object` declaration?
kotlin,Technical,Programming Languages,What are companion objects in Kotlin and how are they used?
kotlin,Technical,Programming Languages,Explain the concept of extension functions in Kotlin.
kotlin,Technical,Programming Languages,How do you use higher-order functions in Kotlin?
kotlin,Technical,Programming Languages,What are lambda expressions in Kotlin and how are they used?
kotlin,Technical,Programming Languages,Explain the concept of inline functions in Kotlin.
kotlin,Technical,Programming Languages,What are coroutines in Kotlin and how do they handle concurrency?
html,Technical,Web Technologies,What is HTML and what does it stand for?
html,Technical,Web Technologies,What is the difference between HTML and HTML5?
html,Technical,Web Technologies,Explain the basic structure of an HTML document.
html,Technical,Web Technologies,What is the `DOCTYPE` declaration and why is it important in HTML?
html,Technical,Web Technologies,What are HTML tags and elements?
html,Technical,Web Technologies,What is the difference between block-level and inline elements in HTML?
html,Technical,Web Technologies,Explain the concept of semantic HTML and why it matters.
html,Technical,Web Technologies,What are the benefits of using semantic HTML5 elements?
html,Technical,Web Technologies,List some semantic HTML5 elements and their purposes.
html,Technical,Web Technologies,What is the `<div>` tag and when should you use it?
html,Technical,Web Technologies,What is the `<span>` tag and when should you use it?
html,Technical,Web Technologies,What are heading tags (`<h1>` to `<h6>`) and how are they used for SEO?
html,Technical,Web Technologies,What is the `<p>` tag used for in HTML?
html,Technical,Web Technologies,How do you create hyperlinks in HTML using the `<a>` tag?
html,Technical,Web Technologies,What is the `<a>` tag and what are its important attributes?
html,Technical,Web Technologies,What is the difference between absolute and relative URLs in links?
html,Technical,Web Technologies,How do you add images to an HTML page using the `<img>` tag?
html,Technical,Web Technologies,What is the `<img>` tag and what are its required attributes?
html,Technical,Web Technologies,What is the `alt` attribute on images and why is it important for accessibility?
html,Technical,Web Technologies,"How do you create lists in HTML (ordered, unordered, description)?"
css,Technical,Web Technologies,What is CSS and what does it stand for?
css,Technical,Web Technologies,What are the different ways to include CSS in an HTML document?
css,Technical,Web Technologies,"What is the difference between inline, internal, and external CSS?"
css,Technical,Web Technologies,What are CSS selectors and what are the different types?
css,Technical,Web Technologies,What is the universal selector (`*`) in CSS and when would you use it?
css,Technical,Web Technologies,What are element selectors in CSS and how do they work?
css,Technical,Web Technologies,What are class selectors in CSS and how are they used?
css,Technical,Web Technologies,What are ID selectors in CSS and how do they differ from class selectors?
css,Technical,Web Technologies,What is the difference between class selectors and ID selectors in CSS?
css,Technical,Web Technologies,What are attribute selectors in CSS and give examples.
css,Technical,Web Technologies,What are pseudo-classes in CSS and give common examples.
css,Technical,Web Technologies,What is the `:hover` pseudo-class in CSS and how is it used?
css,Technical,Web Technologies,What are pseudo-elements in CSS and how do they differ from pseudo-classes?
css,Technical,Web Technologies,What is the difference between `::before` and `::after` pseudo-elements?
css,Technical,Web Technologies,What is the CSS box model and what are its components?
css,Technical,Web Technologies,What are the components of the box model in CSS?
css,Technical,Web Technologies,What is the difference between `margin` and `padding` in CSS?
css,Technical,Web Technologies,What is the `box-sizing` property in CSS and what values can it take?
css,Technical,Web Technologies,What is the difference between `content-box` and `border-box` in CSS?
css,Technical,Web Technologies,"What are the different units of measurement in CSS (px, em, rem, %, vh, vw)?"
react,Technical,Web Technologies,What is React and what are its main features?
react,Technical,Web Technologies,What is the difference between React and other JavaScript frameworks?
react,Technical,Web Technologies,What is JSX in React and why is it used?
react,Technical,Web Technologies,Why is JSX used in React development?
react,Technical,Web Technologies,What are the advantages of using JSX in React?
react,Technical,Web Technologies,What are components in React and what types of components exist?
react,Technical,Web Technologies,What is the difference between functional and class components in React?
react,Technical,Web Technologies,What are props in React and how do you pass data with them?
react,Technical,Web Technologies,How do you pass data from parent to child components using props?
react,Technical,Web Technologies,What is state in React and how is it different from props?
react,Technical,Web Technologies,What is the difference between state and props in React?
react,Technical,Web Technologies,What is the `useState` hook in React and how do you use it?
react,Technical,Web Technologies,How do you use `useState` to manage state in functional components?
react,Technical,Web Technologies,What is the `useEffect` hook in React and what is its purpose?
react,Technical,Web Technologies,How do you use `useEffect` for side effects in React components?
react,Technical,Web Technologies,What is the component lifecycle in React and what are the main phases?
react,Technical,Web Technologies,How do lifecycle methods work in React class components?
react,Technical,Web Technologies,What is the `useContext` hook in React and how does it work?
react,Technical,Web Technologies,How do you use the Context API for state management in React?
react,Technical,Web Technologies,What is the `useReducer` hook in React and when would you use it?
angular,Technical,Web Technologies,What is Angular and what are its main features?
angular,Technical,Web Technologies,What is the difference between Angular and AngularJS?
angular,Technical,Web Technologies,What are the key building blocks of Angular applications?
angular,Technical,Web Technologies,What is a component in Angular and how do you create one?
angular,Technical,Web Technologies,What are directives in Angular and what types exist?
angular,Technical,Web Technologies,What is the difference between a component and a directive in Angular?
angular,Technical,Web Technologies,What are structural directives in Angular and give examples.
angular,Technical,Web Technologies,What are attribute directives in Angular and give examples.
angular,Technical,Web Technologies,What is `*ngIf` directive in Angular and how is it used?
angular,Technical,Web Technologies,What is `*ngFor` directive in Angular and how does it work?
angular,Technical,Web Technologies,What is data binding in Angular and what types are available?
angular,Technical,Web Technologies,What are the different types of data binding in Angular?
angular,Technical,Web Technologies,What is interpolation in Angular and give an example.
angular,Technical,Web Technologies,What is property binding in Angular and how is it different from interpolation?
angular,Technical,Web Technologies,What is event binding in Angular and give an example.
angular,Technical,Web Technologies,What is two-way data binding in Angular and how is it achieved?
angular,Technical,Web Technologies,What is `[(ngModel)]` in Angular and how is it used for two-way binding?
angular,Technical,Web Technologies,What are pipes in Angular and give examples of built-in pipes.
angular,Technical,Web Technologies,What are some commonly used built-in pipes in Angular?
angular,Technical,Web Technologies,How do you create custom pipes in Angular?
vue,Technical,Web Technologies,What is Vue.js and what are its main features?
vue,Technical,Web Technologies,What are the advantages of using Vue.js for web development?
vue,Technical,Web Technologies,How do you create a Vue instance and what options does it take?
vue,Technical,Web Technologies,What is the Vue template syntax and how does it work?
vue,Technical,Web Technologies,What are directives in Vue.js and give examples of built-in directives?
vue,Technical,Web Technologies,What are some commonly used built-in directives in Vue?
vue,Technical,Web Technologies,What is the `v-bind` directive in Vue and how is it used?
vue,Technical,Web Technologies,What is the `v-model` directive in Vue and what does it do?
vue,Technical,Web Technologies,What is two-way data binding in Vue and how is it achieved?
vue,Technical,Web Technologies,"What is the `v-if`, `v-else-if`, and `v-else` directives in Vue?"
vue,Technical,Web Technologies,What is the `v-show` directive in Vue and how is it different from `v-if`?
vue,Technical,Web Technologies,What is the difference between `v-if` and `v-show` in Vue?
vue,Technical,Web Technologies,What is the `v-for` directive in Vue and how do you use it to render lists?
vue,Technical,Web Technologies,What is the `:key` attribute in `v-for` loops and why is it important?
vue,Technical,Web Technologies,What are computed properties in Vue and when would you use them?
vue,Technical,Web Technologies,What is the difference between computed properties and methods in Vue?
vue,Technical,Web Technologies,What are watchers in Vue and how are they different from computed properties?
vue,Technical,Web Technologies,When would you use watchers vs computed properties in Vue?
vue,Technical,Web Technologies,What are components in Vue and how do you create them?
vue,Technical,Web Technologies,How do you register components globally vs locally in Vue?
nodejs,Technical,Web Technologies,What is Node.js and what are its main features?
nodejs,Technical,Web Technologies,What is the event-driven architecture in Node.js?
nodejs,Technical,Web Technologies,How does the event loop work in Node.js?
nodejs,Technical,Web Technologies,What is non-blocking I/O in Node.js and why is it important?
nodejs,Technical,Web Technologies,What are the advantages of using Node.js for server-side development?
nodejs,Technical,Web Technologies,What is the difference between Node.js and traditional web servers like Apache?
nodejs,Technical,Web Technologies,What are modules in Node.js and how do you create them?
nodejs,Technical,Web Technologies,What is the difference between CommonJS and ES modules in Node.js?
nodejs,Technical,Web Technologies,How do you create a custom module in Node.js using `module.exports`?
nodejs,Technical,Web Technologies,What is `require` in Node.js and how does it work?
nodejs,Technical,Web Technologies,What is `module.exports` and how is it different from `exports`?
nodejs,Technical,Web Technologies,What is npm (Node Package Manager) and how do you use it?
nodejs,Technical,Web Technologies,What is the `package.json` file in Node.js and what information does it contain?
nodejs,Technical,Web Technologies,What are dependencies and devDependencies in `package.json`?
nodejs,Technical,Web Technologies,What is the `node_modules` folder and how is it structured?
nodejs,Technical,Web Technologies,What is the difference between global and local installation of npm packages?
nodejs,Technical,Web Technologies,What are callbacks in Node.js and how are they used for async operations?
nodejs,Technical,Web Technologies,What is callback hell in Node.js and how do you avoid it?
nodejs,Technical,Web Technologies,What are promises in Node.js and how do they improve async code?
nodejs,Technical,Web Technologies,How do you use `async/await` in Node.js for asynchronous operations?
express,Technical,Web Technologies,What is Express.js and why is it used with Node.js?
express,Technical,Web Technologies,How do you install and set up Express.js in a Node.js project?
express,Technical,Web Technologies,How do you create a basic Express.js application?
express,Technical,Web Technologies,What are routes in Express.js and how do you define them?
express,Technical,Web Technologies,How do you define routes in Express.js for different HTTP methods?
express,Technical,Web Technologies,What are route parameters in Express.js and how do you access them?
express,Technical,Web Technologies,How do you handle query parameters in Express.js requests?
express,Technical,Web Technologies,What is the difference between `req.params` and `req.query` in Express?
express,Technical,Web Technologies,What are middleware functions in Express.js and how do they work?
express,Technical,Web Technologies,How do you use middleware in Express.js for request processing?
express,Technical,Web Technologies,What is the difference between application-level and router-level middleware?
express,Technical,Web Technologies,How do you create custom middleware in Express.js?
express,Technical,Web Technologies,What are error-handling middleware in Express.js and how do you define them?
express,Technical,Web Technologies,How do you handle 404 errors in Express.js applications?
express,Technical,Web Technologies,What is the `express.Router` class and how is it used?
django,Technical,Web Technologies,What is Django and what are its main features?
django,Technical,Web Technologies,What is the Django architecture pattern (MVT)?
django,Technical,Web Technologies,What is the MVT (Model-View-Template) pattern in Django?
django,Technical,Web Technologies,How is Django's MVT pattern different from the traditional MVC pattern?
django,Technical,Web Technologies,How do you create a new Django project using `django-admin`?
django,Technical,Web Technologies,What is the `manage.py` file in Django and what is its purpose?
django,Technical,Web Technologies,What are Django apps and how are they different from Django projects?
django,Technical,Web Technologies,How do you create a new app in a Django project?
django,Technical,Web Technologies,What is the difference between a Django project and a Django app?
django,Technical,Web Technologies,What are models in Django and how are they defined?
django,Technical,Web Technologies,How do you define models in Django using Python classes?
django,Technical,Web Technologies,What are the different field types available in Django models?
django,Technical,Web Technologies,What are relationships in Django models and what types exist?
django,Technical,Web Technologies,"What is the difference between `ForeignKey`, `ManyToManyField`, and `OneToOneField`?"
django,Technical,Web Technologies,What are migrations in Django and why are they important?
django,Technical,Web Technologies,How do you create and apply migrations in Django?
django,Technical,Web Technologies,What is the `makemigrations` command in Django?
django,Technical,Web Technologies,What is the `migrate` command in Django and what does it do?
django,Technical,Web Technologies,What are views in Django and what types of views exist?
django,Technical,Web Technologies,What is the difference between function-based views and class-based views in Django?
flask,Technical,Web Technologies,What is Flask and what are its main features?
flask,Technical,Web Technologies,What is the difference between Flask and Django framework?
flask,Technical,Web Technologies,How do you install Flask and set up a basic application?
flask,Technical,Web Technologies,How do you create a basic Flask application with a route?
flask,Technical,Web Technologies,What is the `app.route` decorator in Flask and how is it used?
flask,Technical,Web Technologies,How do you define routes with dynamic parameters in Flask?
flask,Technical,Web Technologies,What are route parameters in Flask and how do you access them?
flask,Technical,Web Technologies,"How do you handle different HTTP methods (GET, POST) in Flask routes?"
flask,Technical,Web Technologies,What is the `request` object in Flask and what information does it provide?
flask,Technical,Web Technologies,How do you access GET and POST data from requests in Flask?
flask,Technical,Web Technologies,What is the `jsonify` function in Flask and when would you use it?
flask,Technical,Web Technologies,How do you return JSON responses from a Flask route?
flask,Technical,Web Technologies,What are templates in Flask and how do you render them?
flask,Technical,Web Technologies,How do you use Jinja2 templates in Flask for dynamic content?
flask,Technical,Web Technologies,What is template inheritance in Jinja2 and how does it work?
spring,Technical,Web Technologies,What is the Spring Framework and what are its main features?
spring,Technical,Web Technologies,What is the Spring IoC (Inversion of Control) container?
spring,Technical,Web Technologies,What is dependency injection in Spring and how does it work?
spring,Technical,Web Technologies,What are the different types of dependency injection in Spring?
spring,Technical,Web Technologies,What is Inversion of Control (IoC) in the context of Spring?
spring,Technical,Web Technologies,What is the `ApplicationContext` in Spring and what does it do?
spring,Technical,Web Technologies,What is the `BeanFactory` in Spring and how is it different from `ApplicationContext`?
spring,Technical,Web Technologies,What are Spring beans and how are they defined?
spring,Technical,Web Technologies,How do you configure Spring beans using XML and annotations?
spring,Technical,Web Technologies,What are the different bean scopes available in Spring?
spring,Technical,Web Technologies,What is the difference between singleton and prototype bean scopes in Spring?
spring,Technical,Web Technologies,What is Spring Boot and how is it different from the core Spring Framework?
spring,Technical,Web Technologies,What are the advantages of using Spring Boot for application development?
spring,Technical,Web Technologies,What is auto-configuration in Spring Boot and how does it work?
spring,Technical,Web Technologies,What is the `@SpringBootApplication` annotation and what does it include?
spring,Technical,Web Technologies,What are Spring Boot starters and give examples of common starters?
spring,Technical,Web Technologies,What is Spring MVC and how does it implement the Model-View-Controller pattern?
spring,Technical,Web Technologies,What is the DispatcherServlet in Spring MVC and what is its role?
spring,Technical,Web Technologies,What is the `@Controller` annotation in Spring MVC?
spring,Technical,Web Technologies,What is the `@RestController` annotation and how is it different from `@Controller`?
bootstrap,Technical,Web Technologies,What is Bootstrap and why is it used for web development?
bootstrap,Technical,Web Technologies,What are the main features of the Bootstrap framework?
bootstrap,Technical,Web Technologies,"How do you include Bootstrap in a web project (CDN, download)?"
bootstrap,Technical,Web Technologies,What is the grid system in Bootstrap and how does it work?
bootstrap,Technical,Web Technologies,How does the Bootstrap grid system help create responsive layouts?
bootstrap,Technical,Web Technologies,What are the different container classes in Bootstrap (`container` vs `container-fluid`)?
bootstrap,Technical,Web Technologies,What is the difference between `container` and `container-fluid` in Bootstrap?
bootstrap,Technical,Web Technologies,What are rows and columns in the Bootstrap grid system?
bootstrap,Technical,Web Technologies,"What are the different breakpoints in Bootstrap (sm, md, lg, xl)?"
bootstrap,Technical,Web Technologies,"What are the Bootstrap column classes (col-*, col-sm-*, col-md-*) and how are they used?"
bootstrap,Technical,Web Technologies,How do you create responsive layouts using Bootstrap's grid classes?
bootstrap,Technical,Web Technologies,What are Bootstrap components and give examples of common components?
bootstrap,Technical,Web Technologies,What are the Bootstrap typography classes for styling text?
bootstrap,Technical,Web Technologies,What are Bootstrap buttons and how do you create different button styles?
bootstrap,Technical,Web Technologies,What are the different button style classes available in Bootstrap?
tailwind,Technical,Web Technologies,What is Tailwind CSS and what is its philosophy?
tailwind,Technical,Web Technologies,How is Tailwind CSS different from traditional CSS frameworks like Bootstrap?
tailwind,Technical,Web Technologies,What is the utility-first approach in Tailwind CSS?
tailwind,Technical,Web Technologies,How do you install and configure Tailwind CSS in a project?
tailwind,Technical,Web Technologies,What is the `tailwind.config.js` file used for in Tailwind?
tailwind,Technical,Web Technologies,How do you configure Tailwind for your project needs?
tailwind,Technical,Web Technologies,What are the main configuration options available in `tailwind.config.js`?
tailwind,Technical,Web Technologies,How do you include Tailwind's utilities in your HTML/CSS files?
